Unique accounts	Number of txs	Sum Ethers	Average
2519	1	16739.29908	6.645215989
246	2	2847.16152	11.57382732
42	3	359.845271	8.567744548
8	4	189.5404391	23.69255489
2	5	13.5199644	6.7599822
1	6	57.5	57.5
1	7	63.81785927	63.81785927
1	13	19.545	19.545
2820	41	20290.22913	7.195116713
		Median	1.5
			
			
Row Labels	Count of Buyer	Sum of Ethers	
0x3d34310f063201685536e9aa86261cda3c869ea5	13	19.545	
0x32be343b94f860124dc4fee278fdcbd38c102d88	7	63.81785927	
0x22b84d5ffea8b801c0422afe752377a64aa738c2	6	57.5	
0x7ff0cb1cab19bbd27e44256f7e58e82c1c30d4f9	5	5.2	
0x167a9333bf582556f35bd4d16a7e80e191aa6476	5	8.3199644	
0x27f252d9505240008bb99744e18d9aa1fe0f2d9d	4	20	
0x9e75f8a3698ba5f924aad561488e052078b23eda	4	5	
0xaf51971af8da2c7a2c543894ceda858810df868b	4	32.32208684	
0xd2ff999fe507478afbb2e0d4df64dde69e0c27d3	4	16	
0xed204f4966e87478a4f40da5f2f104fae0f17d6d	4	50	
0xf0e8837c1092ce8c0bfcf841edd8d01b92c2a960	4	8.2	
0x58f09f436a3b610dcf69d825cbc775ce59da27bd	4	8.12	
0xf647a4a90bc278df4f99ba37b06f63959d9369a9	4	49.89835224	
0x9845431510781ae9eeb4bf8ef91bb187cac0e82a	3	6	
0x7250a3590fab3e1850a416f721481354adea9914	3	11	
0xe8f4856d19744fe458c97dccd71fcb17885a50bc	3	3	
0x04c3233fb1c45b79b765e1f9fcb4934c38bcc72d	3	4.3	
0x836786be828d689391e6eebfb7fccb44c6ad7fc8	3	3.027914059	
0x0a62b5576bf651829cb96e81427b9c2540c27931	3	10	
0xa907f1f59011b77f94b0bb818a3ec4de1f36f2e7	3	5	
0x143f7c41816fe815ab472564c79a0f623d861207	3	40	
0x69c2748a04d34b508c800f0faf58351995f88c9b	3	3	
0x215c38db3341e3d0d017cccb985322c159e01845	3	0.631	
0x7a07937e1a638857cbc92e76a06a8600f291ebff	3	6	
0x2318635dd50903f63ff4cfe8098f45eb6832c119	3	3	
0x9273027e0c13e7b7b6314d54dee25c6826fd123f	3	1.805908992	
0x25f6c2be9b8ae0b5a6238cf750cc7c104d7dbd81	3	0.577	
0xa2dde1f01d281987f3659c665662dd8efdb96a39	3	1.5	
0x2d9836904430a15dae1922548c6f0af1ae9b6cd8	3	6.5	
0xb8128c380b6df4e9f96522bf12d70c5e47fe69d7	3	2.058500753	
0x2df8ca35b199a20d36f06daa935c04cfd0e8ce70	3	5.1	
0xf082e67d73561f40c30a9cd41a1b24999ef57362	3	0.69	
0x374a89e10f8ad3493d06b09e8529a6924e6d0d2f	3	42	
0x6c5fa9bf0e40731fb09def88ccf74f1f688690f4	3	5	
0x37fa0230a9279f4911625e05aa888f472a63910a	3	0.31	
0xfb534fe03504a9554b03467798fb2a313db95f56	3	21	
0x4239e31aef8eeb79c3ef9a706a22cd7e202e2bc0	3	0.61346162	
0x7c5605aeb6338c16507f3bb271040232ef958c93	3	1	
0x43acc7877bbae657e8d42e14da7df506076912e0	3	30	
